state_name,state_code,CF,expected_value,total_NCF,NCF,CF_percentage
Maryland,MD,132,5035.026787,9000,200.7360206,0.022304002
Massachusetts,MA,155,5859.776921,9000,232.2390231,0.025804336
Michigan,MI,271,8495.663756,9000,290.4296547,0.032269962
Minnesota,MN,210,4468.807873,9000,85.3178625,0.009479762
Mississippi,MS,99,2443.281736,9000,62.46246611,0.006940274
Missouri,MO,159,5120.68018,9000,179.3963617,0.019932929
Montana,MT,47,903.558759,9000,12.71101218,0.001412335
Nebraska,NE,93,1482.040419,9000,4.939544753,0.000548838
Nevada,NV,69,2408.266366,9000,90.14850129,0.0100165
New Hampshire,NH,44,1222.748068,9000,36.80440155,0.004089378
New Jersey,NJ,246,7548.400599,9000,252.8304697,0.028092274
New Mexico,NM,46,1739.710835,9000,68.96750358,0.007663056
New York,NY,550,16433.60633,9000,536.0027179,0.059555858
North Carolina,NC,270,8779.867574,9000,310.2110537,0.034467895
North Dakota,ND,48,550.555939,9000,-11.61691804,-0.001290769
Ohio,OH,333,9905.467626,9000,321.5955005,0.035732833
Oklahoma,OK,116,3087.931212,9000,88.06364985,0.00978485
Oregon,OR,108,3542.523378,9000,126.1050369,0.014011671
Pennsylvania,PA,343,11279.28366,9000,402.3831165,0.044709235
Rhode Island,RI,34,918.378356,9000,26.69035429,0.002965595
South Carolina,SC,110,4491.446595,9000,186.8139257,0.020757103
South Dakota,SD,48,689.213564,9000,-2.453831467,-0.000272648
Tennessee,TN,192,5680.919479,9000,183.4193613,0.020379929
Texas,TX,569,20322.3859,9000,773.9898388,0.085998871
Utah,UT,64,1931.802737,9000,63.66175483,0.007073528
Vermont,VT,15,570.627651,9000,22.7095062,0.002523278
Virginia,VA,205,6915.931988,9000,252.0342494,0.028003805
Washington,WA,149,5949.594147,9000,244.174528,0.027130503
West Virginia,WV,64,1641.923781,9000,44.50531846,0.004945035
Wisconsin,WI,215,4841.337803,9000,104.9362273,0.011659581
Wyoming,WY,30,452.871927,9000,-0.072293715,-8.03264E-06
Alabama,AL,141,4189.826321,10000,151.6000841,0.015160008
Alaska,AK,33,482.79057,10000,0.716090015,7.1609E-05
Arizona,AZ,171,5945.302869,10000,244.1952817,0.024419528
Arkansas,AR,82,2490.816907,10000,91.94831686,0.009194832
California,CA,761,30017.95446,10000,1335.329376,0.133532938
Colorado,CO,138,4310.569577,10000,163.0322921,0.016303229
Connecticut,CT,114,3124.042999,10000,104.1701995,0.01041702
Delaware,DE,30,882.508066,10000,31.63070126,0.00316307
District of Columbia,DC,16,482.30437,10000,17.68213583,0.001768214
Florida,FL,627,19899.34268,10000,762.6875184,0.076268752
Georgia,GA,277,8233.985614,10000,298.0273874,0.029802739
Hawaii,HI,37,1192.248743,10000,46.26170484,0.00462617
Idaho,ID,49,1357.893577,10000,45.82965269,0.004582965
Illinois,IL,335,10284.73425,10000,383.2431621,0.038324316
Indiana,IN,179,5380.913,10000,196.7806352,0.019678064
Iowa,IA,145,2558.696455,10000,33.68874282,0.003368874
Kansas,KS,109,2268.893055,10000,49.45007594,0.004945008
Kentucky,KY,144,3707.155644,10000,114.8923669,0.011489237
Louisiana,LA,145,3736.322601,10000,115.9292662,0.011592927
Maine,ME,48,1293.704531,10000,42.34695607,0.004234696
Maryland,MD,132,5035.026787,10000,219.6253774,0.021962538
Massachusetts,MA,155,5859.776921,10000,254.2225044,0.02542225
Michigan,MI,271,8495.663756,10000,322.301903,0.03223019
Minnesota,MN,210,4468.807873,10000,102.082998,0.0102083
Mississippi,MS,99,2443.281736,10000,71.62865777,0.007162866
Missouri,MO,159,5120.68018,10000,198.6070549,0.019860705
Montana,MT,47,903.558759,10000,16.10079431,0.001610079
Nebraska,NE,93,1482.040419,10000,10.49955297,0.001049955
Nevada,NV,69,2408.266366,10000,99.18332963,0.009918333
New Hampshire,NH,44,1222.748068,10000,41.39165114,0.004139165
New Jersey,NJ,246,7548.400599,10000,281.1489749,0.028114897
New Mexico,NM,46,1739.710835,10000,75.49418559,0.007549419
New York,NY,550,16433.60633,10000,597.6548733,0.059765487
North Carolina,NC,270,8779.867574,10000,343.1495183,0.034314952
North Dakota,ND,48,550.555939,10000,-9.551457814,-0.000955146
Ohio,OH,333,9905.467626,10000,358.7567552,0.035875676
Oklahoma,OK,116,3087.931212,10000,99.64830213,0.00996483
Oregon,OR,108,3542.523378,10000,139.3951326,0.013939513
Pennsylvania,PA,343,11279.28366,10000,444.6983658,0.044469837
Rhode Island,RI,34,918.378356,10000,30.13573347,0.003013573
South Carolina,SC,110,4491.446595,10000,203.6639924,0.020366399
South Dakota,SD,48,689.213564,10000,0.131815341,1.31815E-05
Tennessee,TN,192,5680.919479,10000,204.7318428,0.020473184
Texas,TX,569,20322.3859,10000,850.2311012,0.08502311
Utah,UT,64,1931.802737,10000,70.90908692,0.007090909
Vermont,VT,15,570.627651,10000,24.85026726,0.002485027
Virginia,VA,205,6915.931988,10000,277.9799916,0.027797999
Washington,WA,149,5949.594147,10000,266.4949667,0.026649497
West Virginia,WV,64,1641.923781,10000,50.66514352,0.005066514
Wisconsin,WI,215,4841.337803,10000,123.0989425,0.012309894
Wyoming,WY,30,452.871927,10000,1.626696139,0.00016267
